column;cleaned
 dropoff_datetime;cleaned_tpep_dropoff_datetime
 passenger_count;cleaned_passenger_count
 pickup_datetime;cleaned_tpep_pickup_datetime
 pickup_latitude;cleaned_pickup_latitude
 pickup_longitude;cleaned_pickup_longitude
 trip_distance;cleaned_trip_distance
dropoff_datetime;cleaned_tpep_dropoff_datetime
Passenger_Count;cleaned_passenger_count
pickup_datetime;cleaned_tpep_pickup_datetime
pickup_latitude;cleaned_pickup_latitude
pickup_longitude;cleaned_pickup_longitude
tpep_dropoff_datetime;cleaned_tpep_dropoff_datetime
tpep_pickup_datetime;cleaned_tpep_pickup_datetime
Trip_Distance;cleaned_trip_distance
Trip_Dropoff_DateTime;cleaned_tpep_dropoff_datetime
Trip_Pickup_DateTime;cleaned_tpep_pickup_datetime
passenger_count;cleaned_passenger_count
trip_distance;cleaned_trip_distance
Start_Lat;cleaned_pickup_latitude
Start_Lon;cleaned_pickup_longitude
